a	에이	ei
Bancroft	밴크로프트	pɛnkʰɯlopʰɯtʰɯ
band	밴드	pɛndɯ
Bandana	밴다나	pɛndana
Bandon	밴던	pɛndʌn
Bandung	반둥	panduŋ
Baneberry	베인베리	peinbeli
Bangalore	방갈로	paŋgallo
Bangkok	방콕	paŋkʰok
Bangladesh	방글라데시	paŋgɯlladesi
Bangor	뱅거	pɛŋgʌ
Bangs	뱅스	pɛŋs͈ɯ
BANJARMASIN	반자르마신	pand͡ɕalɯmasin
bank	뱅크	pɛŋkʰɯ
banker	뱅커	pɛŋkʰʌ
Banks	뱅크스	pɛŋkʰɯsɯ
banner	배너	pɛnʌ
Banner	배너	pɛnʌ
Banning	배닝	pɛniŋ
Banta	반타	pantʰa
Bantry	밴트리	pɛntʰɯli
BAOTOU	바오터우	paotʰʌu
Baptist	뱁티스트	pɛptʰisɯtʰɯ
bar	바	pa
barbecue	바비큐	pabikʰju
Barbecue	바비큐	pabikʰju
barbell	바벨	pabel
barbercue	바베큐	pabekʰju
Barboursville	바버스빌	pabʌsɯbil
Barcelona	바르셀로나	palɯsellona
Barclay	바클레이	pakʰɯllei
Barco	바코	pakʰo
Bardin	바딘	padin
Bardley	바들리	padɯlli
Bardsdale	바즈데일	pad͡ɕɯdeil
Bardstown	바즈타운	pad͡ɕɯtʰaun
barge	바지	pad͡ɕi
Bari	바리	pali
Baring	베어링	peʌliŋ
baritone	바리톤	palitʰon
barium	바륨	paljum
Barker	바커	pakʰʌ
Barksdale	박스데일	paks͈ɯdeil
Barling	발링	palliŋ
Barlow	바로우	palou
Barnabus	바나버스	panabʌsɯ
Barnard	버나드	pʌnadɯ
Barnes	반스	pans͈ɯ
Barnesville	반즈빌	pand͡ɕɯbil
Barnet	바넷	panet
Barnett	바넷	panet
Barney	바니	pani
Barnhart	반하트	panhatʰɯ
Barnstable	반스터블	pans͈ɯtʰʌbɯl
Barnstead	반스테드	pans͈ɯtʰedɯ
Barnum	바넘	panʌm
barometer	바로미터	palomitʰʌ
Baron	베이런	peilʌn
Barrackville	배럭빌	pɛlʌkp͈il
Barre	바	pa
barrel	배럴	pɛlʌl
Barrett	바렛	palet
barricade	바리케이트	palikʰeitʰɯ
Barrie	베리	peli
Barrington	배링턴	pɛliŋtʰʌn
Barron	배런	pɛlʌn
Barrow	배로우	pɛlou
Barry	배리	pɛli
Barstow	바스토우	pasɯtʰou
bartender	바텐더	patʰendʌ
Bartle	바틀	patʰɯl
Bartlesville	바틀즈빌	patʰɯld͡ɕɯbil
Bartlett	바틀렛	patʰɯllet
Bartley	바틀리	patʰɯlli
Barton	바턴	patʰʌn
Bartow	바토	patʰo
Barview	바뷰	pabju
Basalt	배솔트	pɛsoltʰɯ
Basco	배스코	pɛsɯkʰo
Bascom	베스컴	pesɯkʰʌm
baseball	베이스볼	peisɯbol
Basehor	바시어	pasiʌ
Basel	바젤	pad͡ɕel
Bashaw	바쇼	pasjo
basic	베이직	peid͡ɕik
BASIC	베이식	peisik
Basile	바슬	pasɯl
Basinger	베이싱어	peisiŋʌ
Baskerville	베스커빌	pesɯkʰʌbil
basket	바스켓	pasɯkʰet
Basra	바스라	pasɯla
bass	배스	pɛsɯ
Bass	배스	pɛsɯ
Bassett	바셋	paset
Bassfield	배스필드	pɛsɯpʰildɯ
Bastia	바스티아	pasɯtʰia
Bastrop	배스트롭	pɛsɯtʰɯlop
bat	배트	pɛtʰɯ
Batam	바탐	patʰam
Batavia	바타비아	patʰabia
Batchelor	배철러	pɛt͡ɕʰʌllʌ
Bateman	베이트먼	peitʰɯmʌn
Bates	베이츠	peit͡ɕʰɯ
Batesville	베이츠빌	peit͡ɕʰɯbil
Bath	배스	pɛsɯ
bathe	베이드	peidɯ
Bathurst	배서스트	pɛsʌsɯtʰɯ
batman	배트맨	pɛtʰɯmɛn
BATNA	바트나	patʰɯna
baton	바통	patʰoŋ
Batoo	바투	patʰu
battalion	버탤리언	pʌtʰɛlliʌn
battery	배터리	pɛtʰʌli
Battlefield	배틀필드	pɛtʰɯlpʰildɯ
Battleford	배틀퍼드	pɛtʰɯlpʰʌdɯ
Battleground	베틀그라운드	petʰɯlgɯlaundɯ
Batumi	바투미	patʰumi
Baud	보드	podɯ
Baudette	보데트	podetʰɯ
Baum	바움	paum
Baumberg	봄버그	pombʌgɯ
Bauxite	보크사이트	pokʰɯsaitʰɯ
Bavaria	바바리아	pabalia
Baxley	백슬리	pɛks͈ɯlli
Baxter	백스터	pɛks͈ɯtʰʌ
Bay	베이	pei
Bayard	바야드	pajadɯ
Bayfield	베이필드	peipʰildɯ
Bayle	베일	peil
Bayonne	베이온	peion
Bayport	베이포트	peipʰotʰɯ
Bayside	베이사이드	peisaidɯ
Baytown	베이타운	peitʰaun
Bayview	베이뷰	peibju
Baywood	베이우드	peiudɯ
bazaar	바자	pad͡ɕa
Bazaar	바자	pad͡ɕa
Bazemore	베이즈모어	peid͡ɕɯmoʌ
Bazine	바진	pad͡ɕin
BBC	비비시	pibisi
beach	비치	pit͡ɕʰi
Beachwood	비치우드	pit͡ɕʰiudɯ
Beacon	비콘	pikʰon
Beaconsfield	비콘스필드	pikʰons͈ɯpʰildɯ
beaker	비커	pikʰʌ
Beallsville	빌스빌	pils͈ɯbil
Beals	빌스	pils͈ɯ
Beaman	비먼	pimʌn
Beamon	비몬	pimon
Beamsville	빔스빌	pims͈ɯbil
Bearcreek	베어크리크	peʌkʰɯlikʰɯ
Beard	비어드	piʌdɯ
Bearden	비어든	piʌdɯn
Beardsley	비어즐리	piʌd͡ɕɯlli
Beardstown	비어즈타운	piʌd͡ɕɯtʰaun
bearing	베어링	peʌliŋ
Beartown	베어타운	peʌtʰaun
Beasley	비슬리	pisɯlli
Beason	비슨	pisɯn
Beatrice	베아트리체	peatʰɯlit͡ɕʰe
Beattie	비티	pitʰi
Beatty	비티	pitʰi
Beaty	비티	pitʰi
Beaufort	보퍼트	popʰʌtʰɯ
Beaumont	보몬트	pomontʰɯ
Beauregard	보르가드	polɯgadɯ
beauty	뷰티	pjutʰi
Beauty	뷰티	pjutʰi
beaver	비버	pibʌ
Beaver	비버	pibʌ
Beavercreek	비버크리크	pibʌkʰɯlikʰɯ
Beaverdam	비버댐	pibʌdɛm
Beaverton	비버턴	pibʌtʰʌn
Bebe	베베	pebe
Bebee	비비	pibi
Beck	벡	pek
Becker	베커	pekʰʌ
Becket	베킷	pekʰit
Beckley	베클리	pekʰɯlli
Beckwith	벡위스	pegwisɯ
Beda	베다	peda
Beddington	베딩턴	pediŋtʰʌn
Bedford	베드퍼드	pedɯpʰʌdɯ
Bedrock	베드록	pedɯlok
Bee	비	pi
Beebe	비브	pibɯ
Beecher	비처	pit͡ɕʰʌ
Beechville	비치빌	pit͡ɕʰibil
Beechwood	비치우드	pit͡ɕʰiudɯ
Beekmantown	비크먼타운	pikʰɯmʌntʰaun
Beeler	빌러	pillʌ
beer	비루	pilu
Beetles	비틀즈	pitʰɯld͡ɕɯ
before	비포	pipʰo
Beggs	벡스	peks͈ɯ
begin	비긴	pigin
behind	비하인드	pihaindɯ
beige	베이지	peid͡ɕi
Beijing	베이징	peid͡ɕiŋ
Beira	베이라	peila
Beirut	베이루트	peilutʰɯ
Belcher	벨쳐	pelt͡ɕʰʌ
Belchertown	벨처타운	pelt͡ɕʰʌtʰaun
Belding	벨딩	peldiŋ
Belen	벨렌	pellen
Belfair	벨페어	pelpʰeʌ
Belfast	벨파스트	pelpʰasɯtʰɯ
Belfield	벨필드	pelpʰildɯ
Belfry	벨프리	pelpʰɯli
Belgique	벨지크	peld͡ɕikʰɯ
Belgium	벨지움	peld͡ɕium
Belgrade	베오그라드	peogɯladɯ
Belgreen	벨그린	pelgɯlin
Belhaven	벨헤이븐	pelheibɯn
believe	빌리브	pillibɯ
Belington	벨링턴	pelliŋtʰʌn
Belize	벨리즈	pellid͡ɕɯ
Belk	벨크	pelkʰɯ
bell	벨	pel
Bell	벨	pel
Bellaire	벨라르	pellalɯ
Bellbrook	벨브루크	pelbɯlukʰɯ
Belle	벨	pel
Belleair	벨에어	peleʌ
Bellefontaine	벨폰테인	pelpʰontʰein
Bellefonte	벨폰트	pelpʰontʰɯ
Belleview	벨뷰	pelbju
Belleville	벨빌	pelbil
Bellevue	벨뷰	pelbju
Bellflower	벨플라워	pelpʰɯllawʌ
Bellingham	벨링햄	pelliŋhɛm
Belltown	벨타운	peltʰaun
Bellvue	벨뷰	pelbju
Bellwood	벨우드	peludɯ
Belmond	벨몬드	pelmondɯ
Belmont	벨몬트	pelmontʰɯ
Belmore	벨모어	pelmoʌ
Beloit	벨로잇	pelloit
Belpre	벨프리	pelpʰɯli
Belshaw	벨쇼	pels͈jo
belt	벨트	peltʰɯ
Belton	벨턴	peltʰʌn
Beltrami	벨트라미	peltʰɯlami
Belva	벨버	pelbʌ
Belvedere	벨베데레	pelbedele
Belvidere	벨비디어	pelbidiʌ
Belvoir	벨부아	pelbua
Belvue	벨뷰	pelbju
Belwood	벨우드	peludɯ
Belzoni	벨조니	peld͡ɕoni
Bemidji	베미지	pemid͡ɕi
Bena	베나	pena
bench	벤치	pent͡ɕʰi
Bend	벤드	pendɯ
Bendavis	벤다비스	pendabisɯ
Bendena	벤데나	pendena
Bendigo	벤디고	pendigo
Benedict	베네딕트	penediktʰɯ
Bengal	벵골	peŋgol
Benge	벤지	pend͡ɕi
Benham	벤험	penhʌm
Benicia	베니시아	penisia
Benin	베닌	penin
Benjamin	벤자민	pend͡ɕamin
Benkelman	벤켈먼	penkʰelmʌn
Benndale	벤데일	pendeil
Bennett	베넷	penet
Bennington	베닝턴	peniŋtʰʌn
Benoit	브누아	pɯnua
Benson	벤슨	pens͈ɯn
Bentley	벤틀리	pentʰɯlli
Benton	벤턴	pentʰʌn
Bentonville	벤턴빌	pentʰʌnbil
Bentree	벤트리	pentʰɯli
Benwood	벤우드	penudɯ
Benz	벤츠	pent͡ɕʰɯ
Berea	베리아	pelia
Bergen	베르겐	pelɯgen
Berger	버거	pʌgʌ
Bergman	버그먼	pʌgɯmʌn
Berkeley	버클리	pʌkʰɯlli
berkelium	버클륨	pʌkʰɯlljum
Berkley	버클리	pʌkʰɯlli
Berkshire	버크셔	pʌkʰɯsjʌ
Berlin	베를린	pelɯllin
Bermuda	버뮤다	pʌmjuda
Bernalillo	버날릴로	pʌnallillo
Bernard	버나드	pʌnadɯ
Bernardo	버나도	pʌnado
Berne	베른	pelɯn
Bernice	버니스	pʌnisɯ
Bernie	버니	pʌni
Beroun	비룬	pilun
Berry	베리	peli
Berryburg	베리버그	pelibʌgɯ
Berrys	베리스	pelisɯ
Berrytown	베리타운	pelitʰaun
Berryville	베리빌	pelibil
Bertha	버사	pʌsa
Berthold	버솔드	pʌsoldɯ
Berthoud	베르투	pelɯtʰu
Bertram	버트럼	pʌtʰɯlʌm
Bertrand	버트랜드	pʌtʰɯlɛndɯ
Berwick	버윅	pʌwik
Berwyn	버윈	pʌwin
Beryl	베릴	pelil
beryllium	베릴륨	pelilljum
Bessemer	베서머	pesʌmʌ
Bessie	베시	pesi
best	베스트	pesɯtʰɯ
Best	베스트	pesɯtʰɯ
bestseller	베스트셀러	pesɯtʰɯsellʌ
Bethania	베사니아	pesania
Bethany	베서니	pesʌni
Bethel	베델	pedel
Bethesda	베데스다	pedesɯda
Bethlehem	베들레헴	pedɯllehem
Bethpage	베스페이지	pesɯpʰeid͡ɕi
Bethune	베툰	petʰun
Bettendorf	베튼도프	petʰɯndopʰɯ
Bettie	베티	petʰi
Bettles	베틀스	petʰɯls͈ɯ
Between	비트윈	pitʰɯwin
Beulah	뷸라	pjulla
Bevent	비번트	pibʌntʰɯ
Beverly	베벌리	pebʌlli
Bevier	베비르	pebilɯ
Bexley	벡슬리	peks͈ɯlli
Beyond	비욘드	pijondɯ
bhikshu	비구	pigu
bhikshuni	비구니	piguni
Biarritz	비아리츠	pialit͡ɕʰɯ
Bibo	비보	pibo
Biddeford	비드퍼드	pidɯpʰʌdɯ
Biddle	비들	pidɯl
bidet	비데	pide
Bieber	비버	pibʌ
biennale	비엔날레	piennalle
big	빅	pik
Bigbee	빅비	pikp͈i
Bigbend	빅벤드	pikp͈endɯ
Bigelow	비글로	pigɯllo
Bigfork	빅포크	pikpʰokʰɯ
Biggers	비거스	pigʌsɯ
Biggs	빅스	piks͈ɯ
Bigpatch	빅패치	pikpʰɛt͡ɕʰi
bikini	비키니	pikʰini
Bilbao	빌바오	pilbao
bilberry	빌베리	pilbeli
Billerica	빌러리카	pillʌlikʰa
Billett	빌레트	pilletʰɯ
Billings	빌링스	pilliŋs͈ɯ
Billingsley	빌링스리	pilliŋs͈ɯli
Billtown	빌타운	piltʰaun
Billund	빌룬드	pillundɯ
Billville	빌빌	pilbil
Biloxi	빌럭시	pillʌks͈i
Bim	빔	pim
Bimini	비미니	pimini
binder	바인더	paindʌ
Binford	빈포드	pinpʰodɯ
Bingen	빙엔	piŋen
Binger	빙어	piŋʌ
Bingham	빙엄	piŋʌm
Binghamton	빙햄톤	piŋhɛmtʰon
bingo	빙고	piŋgo
Bingol	빈골	pink͈ol
Bintulu	빈투르	pintʰulɯ
bio	바이오	paio
biocomputer	바이오컴퓨터	paiokʰʌmpʰjutʰʌ
bionics	바이오닉스	paioniks͈ɯ
biotechnology	바이오테크놀로지	paiotʰekʰɯnollod͡ɕi
Birch	버치	pʌt͡ɕʰi
Birchwood	버치우드	pʌt͡ɕʰiudɯ
birdie	버디	pʌdi
Birdsall	버즈올	pʌd͡ɕɯol
Birdseye	버즈아이	pʌd͡ɕɯai
Birdsong	버드송	pʌdɯsoŋ
Birmingham	버밍햄	pʌmiŋhɛm
Birnamwood	버남우드	pʌnamudɯ
birthday	버스데이	pʌsɯdei
Bisbee	비스비	pisɯbi
Biscay	비스케이	pisɯkʰei
Biscoe	비스코	pisɯkʰo
biscuit	비스켓	pisɯkʰet
Bishkek	비슈켓	pisjukʰet
Bishop	비숍	pisjop
Bismarck	비스마르크	pisɯmalɯkʰɯ
Bison	바이슨	paisɯn
Bissell	비셀	pisel
Bixby	빅스비	piks͈ɯbi
black	블랙	pɯllɛk
Black	블랙	pɯllɛk
BlackBerry	블랙베리	pɯllɛkp͈eli
Blackduck	블랙덕	pɯllɛkt͈ʌk
Blackey	블래키	pɯllɛkʰi
Blackfoot	블랙풋	pɯllɛkpʰut
Blacklick	블랙리크	pɯllɛŋnikʰɯ
Blackman	블랙먼	pɯllɛŋmʌn
Blacksburg	블랙스버그	pɯllɛks͈ɯbʌgɯ
Blackshear	블랙시어	pɯllɛks͈iʌ
Blackstone	블랙스톤	pɯllɛks͈ɯtʰon
Blacktown	블랙타운	pɯllɛktʰaun
Blackville	블랙빌	pɯllɛkp͈il
Blackwater	블랙워터	pɯllɛgwʌtʰʌ
Blackwell	블랙웰	pɯllɛgwel
Blackwood	블랙우드	pɯllɛgudɯ
Bladensburg	블래던스버그	pɯllɛdʌns͈ɯbʌgɯ
Blades	블레이즈	pɯlleid͡ɕɯ
Blaine	블레인	pɯllein
Blair	블레어	pɯlleʌ
Blairs	블레어스	pɯlleʌsɯ
Blairsville	블레어스빌	pɯlleʌsɯbil
Blake	블레이크	pɯlleikʰɯ
Blakeley	브레이클리	pɯleikʰɯlli
Blakely	블레이클리	pɯlleikʰɯlli
Blalock	블렉록	pɯlleŋnok
Blanca	블랑카	pɯllaŋkʰa
Blanch	블랜치	pɯllɛnt͡ɕʰi
Blanchard	블랜차드	pɯllɛnt͡ɕʰadɯ
Blanco	블랑코	pɯllaŋkʰo
Bland	블랜드	pɯllɛndɯ
Blandford	블랜드퍼드	pɯllɛndɯpʰʌdɯ
Blanding	블랜딩	pɯllɛndiŋ
blank	블랭크	pɯllɛŋkʰɯ
blanket	블랭켓	pɯllɛŋkʰet
Blanks	블랭크스	pɯllɛŋkʰɯsɯ
Blantyre	블랜타이어	pɯllɛntʰaiʌ
blazar	블레이자	pɯlleid͡ɕa
Bledsoe	블레드소	pɯlledɯso
Bleecker	블리커	pɯllikʰʌ
Blenheim	블레넘	pɯllenʌm
Blevins	블레빈스	pɯllebins͈ɯ
Bliss	블리스	pɯllisɯ
Blissfield	블리스필드	pɯllisɯpʰildɯ
bloatware	블로트웨어	pɯllotʰɯweʌ
Blocher	블로셰	pɯllosje
block	블록	pɯllok
Blocksburg	블록스버그	pɯlloks͈ɯbʌgɯ
Blodgett	블로젯	pɯllod͡ɕet
Bloemfontein	블룸폰테인	pɯllumpʰontʰein
blog	블로그	pɯllogɯ
Blook	블룩	pɯlluk
Bloomburg	블룸버그	pɯllumbʌgɯ
Bloomer	블루머	pɯllumʌ
Bloomery	블루머리	pɯllumʌli
Bloomfield	블룸필드	pɯllumpʰildɯ
Bloomingdale	블루밍데일	pɯllumiŋdeil
Bloomington	블루밍턴	pɯllumiŋtʰʌn
Bloomingville	블루밍빌	pɯllumiŋbil
Bloomsburg	블룸스버그	pɯllums͈ɯbʌgɯ
Blossom	블로섬	pɯllosʌm
blottey	브로티	pɯlotʰi
Blount	블라운트	pɯllauntʰɯ
Blountstown	블런츠타운	pɯllʌnt͡ɕʰɯtʰaun
blouse	블라우스	pɯllausɯ
Bloxham	블록스햄	pɯlloks͈ɯhɛm
blue	블루	pɯllu
Blue	블루	pɯllu
blueberry	블루베리	pɯllubeli
Blueberry	블루베리	pɯllubeli
Bluefield	블루필드	pɯllupʰildɯ
Bluejacket	블루재킷	pɯllud͡ɕɛkʰit
blues	블루스	pɯllusɯ
bluetooth	블루투스	pɯllutʰusɯ
Bluff	블러프	pɯllʌpʰɯ
Bluffdale	블러프데일	pɯllʌpʰɯdeil
Bluffton	블러프턴	pɯllʌpʰɯtʰʌn
Blum	블럼	pɯllʌm
Blumenthal	블루멘탈	pɯllumentʰal
Blunt	블런트	pɯllʌntʰɯ
Bly	블라이	pɯllai
Blythe	블라이드	pɯllaidɯ
Blytheville	블라이드빌	pɯllaidɯbil
Blyton	블라이턴	pɯllaitʰʌn
bmw	비엠더블유	piemdʌbɯlju
board	보드	podɯ
Boardman	보드맨	podɯmɛn
boat	보트	potʰɯ
Boaz	보아즈	poad͡ɕɯ
Bobo	보보	pobo
Bock	보크	pokʰɯ
Bodcaw	보드커	podɯkʰʌ
Bode	보드	podɯ
Bodega	보데가	podega
Boden	보덴	poden
Bodrum	보드룸	podɯlum
body	바디	padi
bodybuilding	보디빌딩	podibildiŋ
bodyguard	보디가드	podigadɯ
Boeing	보잉	poiŋ
Boerne	본	pon
Bogalusa	보걸루사	pogʌllusa
Bogard	보가드	pogadɯ
Bogart	보가트	pogatʰɯ
Bogata	보고타	pogotʰa
Boggs	보그스	pogɯsɯ
Bogota	보고타	pogotʰa
Bogue	보그	pogɯ
bohrium	보륨	poljum
boiler	보일러	poillʌ
Boise	보이시	poisi
Boissevain	보이스베인	poisɯbein
Boistfort	보이스트포트	poisɯtʰɯpʰotʰɯ
Bolair	볼레어	polleʌ
Bolar	볼라	polla
Bolckow	볼코	polkʰo
Boles	볼스	pols͈ɯ
Boley	볼리	polli
Bolingbroke	볼링브룩	polliŋbɯluk
Bolivar	볼리바	polliba
Bolivia	볼리비아	pollibia
Bologna	볼로냐	pollonja
bolster	볼스터	pols͈ɯtʰʌ
bolt	볼트	poltʰɯ
Bolte	볼테	poltʰe
Bolton	볼턴	poltʰʌn
Bombay	봄베이	pombei
Bona	보나	pona
BonAir	본에어	poneʌ
Bonaire	보네어	poneʌ
Bonanza	보난자	ponand͡ɕa
Bonaparte	보나파르트	ponapʰalɯtʰɯ
Bonaventure	보나벤처	ponabent͡ɕʰʌ
bond	본드	pondɯ
Bond	본드	pondɯ
Bondurant	본듀런트	pont͈julʌntʰɯ
Bonifay	보니페이	ponipʰei
Bonita	보니타	ponitʰa
Bonneau	본노	ponno
Bonneville	본빌	ponbil
Bonnieville	보니빌	ponibil
Bono	보노	pono
Bonsack	본색	pons͈ɛk
Bonsal	본살	pons͈al
bonus	보너스	ponʌsɯ
book	북	puk
bookend	북엔드	pugendɯ
Booker	부커	pukʰʌ
bookmaker	북메이커	puŋmeikʰʌ
bookmark	북마크	puŋmakʰɯ
boom	붐	pum
Boomer	부머	pumʌ
boomerang	부메랑	pumelaŋ
Boone	분	pun
Boonesboro	분스버러	puns͈ɯbʌlʌ
Boonesborough	분스버러	puns͈ɯbʌlʌ
Booneville	분빌	punbil
Boonsboro	분스버로	puns͈ɯbʌlo
Boonville	분빌	punbil
Boos	부스	pusɯ
booth	부스	pusɯ
Booth	부스	pusɯ
Boothbay	부스베이	pusɯbei
booting	부팅	putʰiŋ
boots	부츠	put͡ɕʰɯ
Bootstrap	부트스트랩	putʰɯsɯtʰɯlɛp
Bordentown	보던타운	podʌntʰaun
Borderland	보덜랜드	podʌllɛndɯ
Boreal	보리얼	poliʌl
Borgman	보그먼	pogɯmʌn
Boring	보링	poliŋ
Borth	보스	posɯ
Boscobel	보스코벨	posɯkʰobel
Bosler	보슬러	posɯllʌ
boss	보스	posɯ
Bosstown	보스타운	posɯtʰaun
Bostic	보스틱	posɯtʰik
Boston	보스턴	posɯtʰʌn
Bostwick	보스트윅	posɯtʰɯwik
Boswell	보즈웰	pod͡ɕɯwel
Bosworth	보스워스	posɯwʌsɯ
bot	봇	pot
Bothell	보셀	posel
Botswana	보츠와나	pot͡ɕʰɯwana
Boulder	볼더	poldʌ
Boulevard	불러바드	pullʌbadɯ
Boulia	보울리아	poullia
Boulogne	블로뉴	pɯllonju
bound	바운드	paundɯ
Bountiful	바운티풀	pauntʰipʰul
bouquet	부케	pukʰe
Bourbon	버번	pʌbʌn
bourgeois	부르조아	pulɯd͡ɕoa
Bourne	본	pon
Bouton	보턴	potʰʌn
Bovey	보비	pobi
Bovill	보빌	pobil
Bowden	보든	podɯn
Bowdle	보들	podɯl
Bowdoin	보우도인	poudoin
Bowdon	보던	podʌn
Bowers	바우어스	pauʌsɯ
Bowie	보위	powi
bowl	보울	poul
bowling	볼링	polliŋ
Bowman	보먼	pomʌn
Bowstring	보우스트링	pousɯtʰɯliŋ
Bowyer	보이어	poiʌ
box	박스	paks͈ɯ
Boxborough	박스버러	paks͈ɯbʌlʌ
boxer	복서	poks͈ʌ
boxing	복싱	poks͈iŋ
boy	보이	poi
Boyce	보이스	poisɯ
boycott	보이콧	poikʰot
Boyd	보이드	poidɯ
Boyden	보이든	poidɯn
Boyds	보이즈	poid͡ɕɯ
Boyer	보이어	poiʌ
Boyes	보이어스	poiʌsɯ
Boykins	보이킨스	poikʰins͈ɯ
Boyle	보일	poil
Boyleston	보일스턴	poils͈ɯtʰʌn
Boylston	보일스턴	poils͈ɯtʰʌn
Boynton	보인턴	pointʰʌn
Bozeman	보제맨	pod͡ɕemɛn
Bozman	보즈먼	pod͡ɕɯmʌn
Brabant	브라반트	pɯlabantʰɯ
Bracey	브레이시	pɯleisi
Brackett	브랙켓	pɯlɛkkʰet
Bradbury	브래드버리	pɯlɛdɯbʌli
Braddock	브래독	pɯlɛdok
Braden	브래든	pɯlɛdɯn
Bradenton	브레이든턴	pɯleidɯntʰʌn
Bradford	브래드포드	pɯlɛdɯpʰodɯ
Bradfordville	브래드포드빌	pɯlɛdɯpʰodɯbil
Bradgate	브래드게이트	pɯlɛdɯgeitʰɯ
Bradley	브래들리	pɯlɛdɯlli
Bradshaw	브래드쇼	pɯlɛdɯsjo
Brady	브래디	pɯlɛdi
Braggadocio	브랙가도시오	pɯlɛkk͈adosio
Braham	브래햄	pɯlɛhɛm
Braidwood	브레이드우드	pɯleidɯudɯ
Brainerd	브레이너드	pɯleinʌdɯ
Braintree	브레인트리	pɯleintʰɯli
brake	브레이크	pɯleikʰɯ
Braman	브라만	pɯlaman
Brampton	브램턴	pɯlɛmtʰʌn
Branch	브랜치	pɯlɛnt͡ɕʰi
brand	브랜드	pɯlɛndɯ
Brandenburg	브랜든버그	pɯlɛndɯnbʌgɯ
Brandon	브랜든	pɯlɛndɯn
Brandt	브랜트	pɯlɛntʰɯ
brandy	브랜디	pɯlɛndi
Brandywine	브랜디와인	pɯlɛndiwain
Branford	브랜포드	pɯlɛnpʰodɯ
Branon	브래넌	pɯlɛnʌn
Branscomb	브랜스콤	pɯlɛns͈ɯkʰom
Branson	브랜슨	pɯlɛns͈ɯn
Brant	브랜트	pɯlɛntʰɯ
Brantley	브랜틀리	pɯlɛntʰɯlli
Brantwood	브랜트우드	pɯlɛntʰɯudɯ
Braselton	브라셀턴	pɯlaseltʰʌn
Brasher	브래셔	pɯlɛsjʌ
Brasilia	브라질리아	pɯlad͡ɕillia
brassiere	브라운	pɯlaun
Braswell	브라즈웰	pɯlad͡ɕɯwel
Bratislava	브라티슬라바	pɯlatʰisɯllaba
Brattleboro	브래틀버러	pɯlɛtʰɯlbʌlʌ
bravo	부라보	pulabo
Brawley	브롤리	pɯlolli
Braxton	브랙스턴	pɯlɛks͈ɯtʰʌn
Bray	브레이	pɯlei
Brayton	브레이턴	pɯleitʰʌn
Brazeau	브라조	pɯlad͡ɕo
Brazil	브라질	pɯlad͡ɕil
Brazos	브라조스	pɯlad͡ɕosɯ
Brazzaville	브라자빌	pɯlad͡ɕabil
Brea	브레아	pɯlea
breaker	브레커	pɯlekʰʌ
Bream	브림	pɯlim
Breckenridge	브레켄리지	pɯlekʰellid͡ɕi
Brecksville	브렉스빌	pɯleks͈ɯbil
Breda	브레다	pɯleda
Breed	브리드	pɯlidɯ
Breeden	브리든	pɯlidɯn
Breeds	브리즈	pɯlid͡ɕɯ
Breen	브린	pɯlin
Breese	브리즈	pɯlid͡ɕɯ
Breinigsville	브레이닝스빌	pɯleiniŋs͈ɯbil
Bremen	브레멘	pɯlemen
Bremerton	브레머턴	pɯlemʌtʰʌn
Brendel	브렌델	pɯlendel
Brent	브렌트	pɯlentʰɯ
Brentford	브렌트퍼드	pɯlentʰɯpʰʌdɯ
Brenton	브렌턴	pɯlentʰʌn
Brentwood	브렌트우드	pɯlentʰɯudɯ
Brereton	브레러턴	pɯlelʌtʰʌn
Brest	브레스트	pɯlesɯtʰɯ
Brevard	브레바드	pɯlebadɯ
Brewer	브루어	pɯluʌ
Brewster	브루스터	pɯlusɯtʰʌ
Briar	브라이어	pɯlaiʌ
Briarcliff	브라이어클리프	pɯlaiʌkʰɯllipʰɯ
Briarwood	브라이어우드	pɯlaiʌudɯ
bridge	브리지	pɯlid͡ɕi
Bridgeport	브리지포트	pɯlid͡ɕipʰotʰɯ
Bridger	브리저	pɯlid͡ɕʌ
Bridgeton	브리지턴	pɯlid͡ɕitʰʌn
Bridgeville	브리지빌	pɯlid͡ɕibil
Bridgewater	브리지워터	pɯlid͡ɕiwʌtʰʌ
Bridgman	브리지맨	pɯlid͡ɕimɛn
Bridgton	브리지튼	pɯlid͡ɕitʰɯn
Bridport	브리드포트	pɯlidɯpʰotʰɯ
briefing	브리핑	pɯlipʰiŋ
Briensburg	브라이언스버그	pɯlaiʌns͈ɯbʌgɯ
Brier	브리어	pɯliʌ
Brigantine	브라이건타인	pɯlaigʌntʰain
Briggs	브리그스	pɯligɯsɯ
Brigham	브리검	pɯligʌm
Brighton	브라이턴	pɯlaitʰʌn
Brightside	브라이트사이드	pɯlaitʰɯsaidɯ
Brill	브릴	pɯlil
Brilliant	브릴리언트	pɯlilliʌntʰɯ
Brillion	브릴리언	pɯlilliʌn
Brimfield	브림필드	pɯlimpʰildɯ
Brindisi	브린디시	pɯlindisi
bring	브링	pɯliŋ
Brinkley	브린클리	pɯlinkʰɯlli
Brinkman	브링크먼	pɯliŋkʰɯmʌn
Brinsmade	브린스메이드	pɯlins͈ɯmeidɯ
Brinson	브린슨	pɯlins͈ɯn
Brisbane	브리즈번	pɯlid͡ɕɯbʌn
Bristol	브리스톨	pɯlisɯtʰol
