a	e i
Belleville	p e l b i l
Bellevue	p e l b j u
Bellflower	p e l p l l a w ʌ
Bellingham	p e l l i ŋ h ɛ m
Belltown	p e l t a u n
Bellvue	p e l b j u
Bellwood	p e l u d
Belmond	p e l m o n d
Belmont	p e l m o n t
Belmore	p e l m o ʌ
Beloit	p e l l o i t
Belpre	p e l p l i
Belshaw	p e l s j o
belt	p e l t
Belton	p e l t ʌ n
Beltrami	p e l t l a m i
Belva	p e l b ʌ
Belvedere	p e l b e d e l e
Belvidere	p e l b i dʒ i ʌ
Belvoir	p e l b u a
Belvue	p e l b j u
Belwood	p e l u d
Belzoni	p e l dʒ o n i
Bemidji	p e m i dʒ i
Bena	p e n a
bench	p e n tʃ i
Bend	p e n d
Bendavis	p e n d a b i s
Bendena	p e n d e n a
Bendigo	p e n dʒ i g o
Benedict	p e n e dʒ i k t
Bengal	p e ŋ g o l
Benge	p e n dʒ i
Benham	p e n h ʌ m
Benicia	p e n i s i a
Benin	p e n i n
Benjamin	p e n dʒ a m i n
Benkelman	p e n k e l m ʌ n
Benndale	p e n d e i l
Bennett	p e n e t
Bennington	p e n i ŋ t ʌ n
Benoit	p n u a
Benson	p e n s n
Bentley	p e n t l l i
Benton	p e n t ʌ n
Bentonville	p e n t ʌ n b i l
Bentree	p e n t l i
Benwood	p e n u d
Benz	p e n tʃ
Berea	p e l i a
Bergen	p e l g e n
Berger	p ʌ g ʌ
Bergman	p ʌ g m ʌ n
Berkeley	p ʌ k l l i
berkelium	p ʌ k l l j u m
Berkley	p ʌ k l l i
Berkshire	p ʌ k s j ʌ
Berlin	p e l l l i n
Bermuda	p ʌ m j u d a
Bernalillo	p ʌ n a l l i l l o
Bernard	p ʌ n a d
Bernardo	p ʌ n a d o
Berne	p e l n
Bernice	p ʌ n i s
Bernie	p ʌ n i
Beroun	p i l u n
Berry	p e l i
Berryburg	p e l i b ʌ g
Berrys	p e l i s
Berrytown	p e l i t a u n
Berryville	p e l i b i l
Bertha	p ʌ s a
Berthold	p ʌ s o l d
Berthoud	p e l t u
Bertram	p ʌ t l ʌ m
Bertrand	p ʌ t l ɛ n d
Berwick	p ʌ w i k
Berwyn	p ʌ w i n
Beryl	p e l i l
beryllium	p e l i l l j u m
Bessemer	p e s ʌ m ʌ
Bessie	p e s i
best	p e s t
Best	p e s t
bestseller	p e s t s e l l ʌ
Bethania	p e s a n i a
Bethany	p e s ʌ n i
Bethel	p e d e l
Bethesda	p e d e s d a
Bethlehem	p e d l l e h e m
Bethpage	p e s p e i dʒ i
Bethune	p e t u n
Bettendorf	p e t n d o p
Bettie	p e tʃ i
Bettles	p e t l s
Between	p i t w i n
Beulah	p j u l l a
Bevent	p i b ʌ n t
Beverly	p e b ʌ l l i
Bevier	p e b i l
Bexley	p e k s l l i
Beyond	p i j o n d
bhikshu	p i g u
bhikshuni	p i g u n i
Biarritz	p i a l i tʃ
Bibo	p i b o
Biddeford	p i d p ʌ d
Biddle	p i d l
bidet	p i d e
Bieber	p i b ʌ
biennale	p i e n n a l l e
big	p i k
Bigbee	p i k p i
Bigbend	p i k p e n d
Bigelow	p i g l l o
Bigfork	p i k p o k
Biggers	p i g ʌ s
Biggs	p i k s
Bigpatch	p i k p ɛ tʃ i
bikini	p i k i n i
Bilbao	p i l b a o
bilberry	p i l b e l i
Billerica	p i l l ʌ l i k a
Billett	p i l l e t
Billings	p i l l i ŋ s
Billingsley	p i l l i ŋ s l i
Billtown	p i l t a u n
Billund	p i l l u n d
Billville	p i l b i l
Biloxi	p i l l ʌ k s i
Bim	p i m
Bimini	p i m i n i
binder	p a i n d ʌ
Binford	p i n p o d
Bingen	p i ŋ e n
Binger	p i ŋ ʌ
Bingham	p i ŋ ʌ m
Binghamton	p i ŋ h ɛ m t o n
bingo	p i ŋ g o
Bingol	p i n k o l
Bintulu	p i n t u l
bio	p a i o
biocomputer	p a i o k ʌ m p j u t ʌ
bionics	p a i o n i k s
biotechnology	p a i o t e k n o l l o dʒ i
Birch	p ʌ tʃ i
Birchwood	p ʌ tʃ i u d
birdie	p ʌ dʒ i
Birdsall	p ʌ dʒ o l
Birdseye	p ʌ dʒ a i
Birdsong	p ʌ d s o ŋ
Birmingham	p ʌ m i ŋ h ɛ m
Birnamwood	p ʌ n a m u d
birthday	p ʌ s d e i
Bisbee	p i s b i
Biscay	p i s k e i
Biscoe	p i s k o
biscuit	p i s k e t
Bishkek	p i s j u k e t
Bishop	p i s j o p
Bismarck	p i s m a l k
Bison	p a i s n
Bissell	p i s e l
Bixby	p i k s b i
black	p l l ɛ k
Black	p l l ɛ k
BlackBerry	p l l ɛ k p e l i
Blackduck	p l l ɛ k t ʌ k
Blackey	p l l ɛ k i
Blackfoot	p l l ɛ k p u t
Blacklick	p l l ɛ ŋ n i k
Blackman	p l l ɛ ŋ m ʌ n
Blacksburg	p l l ɛ k s b ʌ g
Blackshear	p l l ɛ k s i ʌ
Blackstone	p l l ɛ k s t o n
Blacktown	p l l ɛ k t a u n
Blackville	p l l ɛ k p i l
Blackwater	p l l ɛ g w ʌ t ʌ
Blackwell	p l l ɛ g w e l
Blackwood	p l l ɛ g u d
Bladensburg	p l l ɛ d ʌ n s b ʌ g
Blades	p l l e i dʒ
Blaine	p l l e i n
Blair	p l l e ʌ
Blairs	p l l e ʌ s
Blairsville	p l l e ʌ s b i l
Blake	p l l e i k
Blakeley	p l e i k l l i
Blakely	p l l e i k l l i
Blalock	p l l e ŋ n o k
Blanca	p l l a ŋ k a
Blanch	p l l ɛ n tʃ i
Blanchard	p l l ɛ n tʃ a d
Blanco	p l l a ŋ k o
Bland	p l l ɛ n d
Blandford	p l l ɛ n d p ʌ d
Blanding	p l l ɛ n dʒ i ŋ
blank	p l l ɛ ŋ k
blanket	p l l ɛ ŋ k e t
Blanks	p l l ɛ ŋ k s
Blantyre	p l l ɛ n t a i ʌ
blazar	p l l e i dʒ a
Bledsoe	p l l e d s o
Bleecker	p l l i k ʌ
Blenheim	p l l e n ʌ m
Blevins	p l l e b i n s
Bliss	p l l i s
Blissfield	p l l i s p i l d
bloatware	p l l o t w e ʌ
Blocher	p l l o s j e
block	p l l o k
Blocksburg	p l l o k s b ʌ g
Blodgett	p l l o dʒ e t
Bloemfontein	p l l u m p o n t e i n
blog	p l l o g
Blook	p l l u k
Bloomburg	p l l u m b ʌ g
Bloomer	p l l u m ʌ
Bloomery	p l l u m ʌ l i
Bloomfield	p l l u m p i l d
Bloomingdale	p l l u m i ŋ d e i l
Bloomington	p l l u m i ŋ t ʌ n
Bloomingville	p l l u m i ŋ b i l
Bloomsburg	p l l u m s b ʌ g
Blossom	p l l o s ʌ m
blottey	p l o tʃ i
Blount	p l l a u n t
Blountstown	p l l ʌ n tʃ t a u n
blouse	p l l a u s
Bloxham	p l l o k s h ɛ m
blue	p l l u
Blue	p l l u
blueberry	p l l u b e l i
Blueberry	p l l u b e l i
Bluefield	p l l u p i l d
Bluejacket	p l l u dʒ ɛ k i t
blues	p l l u s
bluetooth	p l l u t u s
Bluff	p l l ʌ p
Bluffdale	p l l ʌ p d e i l
Bluffton	p l l ʌ p t ʌ n
Blum	p l l ʌ m
Blumenthal	p l l u m e n t a l
Blunt	p l l ʌ n t
Bly	p l l a i
Blythe	p l l a i d
Blytheville	p l l a i d b i l
Blyton	p l l a i t ʌ n
bmw	p i e m d ʌ b l j u
board	p o d
Boardman	p o d m ɛ n
boat	p o t
Boaz	p o a dʒ
Bobo	p o b o
Bock	p o k
Bodcaw	p o d k ʌ
Bode	p o d
Bodega	p o d e g a
Boden	p o d e n
Bodrum	p o d l u m
body	p a dʒ i
bodybuilding	p o dʒ i b i l dʒ i ŋ
bodyguard	p o dʒ i g a d
Boeing	p o i ŋ
Boerne	p o n
Bogalusa	p o g ʌ l l u s a
Bogard	p o g a d
Bogart	p o g a t
Bogata	p o g o t a
Boggs	p o g s
Bogota	p o g o t a
Bogue	p o g
bohrium	p o l j u m
boiler	p o i l l ʌ
Boise	p o i s i
Boissevain	p o i s b e i n
Boistfort	p o i s t p o t
Bolair	p o l l e ʌ
Bolar	p o l l a
Bolckow	p o l k o
Boles	p o l s
Boley	p o l l i
Bolingbroke	p o l l i ŋ b l u k
Bolivar	p o l l i b a
Bolivia	p o l l i b i a
Bologna	p o l l o n j a
bolster	p o l s t ʌ
bolt	p o l t
Bolte	p o l t e
Bolton	p o l t ʌ n
Bombay	p o m b e i
Bona	p o n a
BonAir	p o n e ʌ
Bonaire	p o n e ʌ
Bonanza	p o n a n dʒ a
Bonaparte	p o n a p a l t
Bonaventure	p o n a b e n tʃ ʌ
bond	p o n d
Bond	p o n d
Bondurant	p o n t j u l ʌ n t
Bonifay	p o n i p e i
Bonita	p o n i t a
Bonneau	p o n n o
Bonneville	p o n b i l
Bonnieville	p o n i b i l
Bono	p o n o
Bonsack	p o n s ɛ k
Bonsal	p o n s a l
bonus	p o n ʌ s
book	p u k
bookend	p u g e n d
Booker	p u k ʌ
bookmaker	p u ŋ m e i k ʌ
bookmark	p u ŋ m a k
boom	p u m
Boomer	p u m ʌ
boomerang	p u m e l a ŋ
Boone	p u n
Boonesboro	p u n s b ʌ l ʌ
Boonesborough	p u n s b ʌ l ʌ
Booneville	p u n b i l
Boonsboro	p u n s b ʌ l o
Boonville	p u n b i l
Boos	p u s
booth	p u s
Booth	p u s
Boothbay	p u s b e i
booting	p u tʃ i ŋ
boots	p u tʃ
Bootstrap	p u t s t l ɛ p
Bordentown	p o d ʌ n t a u n
Borderland	p o d ʌ l l ɛ n d
Boreal	p o l i ʌ l
Borgman	p o g m ʌ n
Boring	p o l i ŋ
Borth	p o s
Boscobel	p o s k o b e l
Bosler	p o s l l ʌ
boss	p o s
Bosstown	p o s t a u n
Bostic	p o s tʃ i k
Boston	p o s t ʌ n
Bostwick	p o s t w i k
Boswell	p o dʒ w e l
Bosworth	p o s w ʌ s
bot	p o t
Bothell	p o s e l
Botswana	p o tʃ w a n a
Boulder	p o l d ʌ
Boulevard	p u l l ʌ b a d
Boulia	p o u l l i a
Boulogne	p l l o n j u
bound	p a u n d
Bountiful	p a u n tʃ i p u l
bouquet	p u k e
Bourbon	p ʌ b ʌ n
bourgeois	p u l dʒ o a
Bourne	p o n
Bouton	p o t ʌ n
Bovey	p o b i
Bovill	p o b i l
Bowden	p o d n
Bowdle	p o d l
Bowdoin	p o u d o i n
Bowdon	p o d ʌ n
Bowers	p a u ʌ s
Bowie	p o w i
bowl	p o u l
bowling	p o l l i ŋ
Bowman	p o m ʌ n
Bowstring	p o u s t l i ŋ
Bowyer	p o i ʌ
box	p a k s
Boxborough	p a k s b ʌ l ʌ
boxer	p o k s ʌ
boxing	p o k s i ŋ
boy	p o i
Boyce	p o i s
boycott	p o i k o t
Boyd	p o i d
Boyden	p o i d n
Boyds	p o i dʒ
Boyer	p o i ʌ
Boyes	p o i ʌ s
Boykins	p o i k i n s
Boyle	p o i l
Boyleston	p o i l s t ʌ n
Boylston	p o i l s t ʌ n
Boynton	p o i n t ʌ n
Bozeman	p o dʒ e m ɛ n
Bozman	p o dʒ m ʌ n
Brabant	p l a b a n t
Bracey	p l e i s i
Brackett	p l ɛ k k e t
Bradbury	p l ɛ d b ʌ l i
Braddock	p l ɛ d o k
Braden	p l ɛ d n
Bradenton	p l e i d n t ʌ n
Bradford	p l ɛ d p o d
Bradfordville	p l ɛ d p o d b i l
Bradgate	p l ɛ d g e i t
Bradley	p l ɛ d l l i
Bradshaw	p l ɛ d s j o
Brady	p l ɛ dʒ i
Braggadocio	p l ɛ k k a d o s i o
Braham	p l ɛ h ɛ m
Braidwood	p l e i d u d
Brainerd	p l e i n ʌ d
Braintree	p l e i n t l i
brake	p l e i k
Braman	p l a m a n
Brampton	p l ɛ m t ʌ n
Branch	p l ɛ n tʃ i
brand	p l ɛ n d
Brandenburg	p l ɛ n d n b ʌ g
Brandon	p l ɛ n d n
Brandt	p l ɛ n t
brandy	p l ɛ n dʒ i
Brandywine	p l ɛ n dʒ i w a i n
Branford	p l ɛ n p o d
Branon	p l ɛ n ʌ n
Branscomb	p l ɛ n s k o m
Branson	p l ɛ n s n
Brant	p l ɛ n t
Brantley	p l ɛ n t l l i
Brantwood	p l ɛ n t u d
Braselton	p l a s e l t ʌ n
Brasher	p l ɛ s j ʌ
Brasilia	p l a dʒ i l l i a
brassiere	p l a u n
Braswell	p l a dʒ w e l
Bratislava	p l a tʃ i s l l a b a
Brattleboro	p l ɛ t l b ʌ l ʌ
bravo	p u l a b o
Brawley	p l o l l i
Braxton	p l ɛ k s t ʌ n
Bray	p l e i
Brayton	p l e i t ʌ n
Brazeau	p l a dʒ o
Brazil	p l a dʒ i l
Brazos	p l a dʒ o s
Brazzaville	p l a dʒ a b i l
Brea	p l e a
breaker	p l e k ʌ
Bream	p l i m
Breckenridge	p l e k e l l i dʒ i
Brecksville	p l e k s b i l
Breda	p l e d a
Breed	p l i d
Breeden	p l i d n
Breeds	p l i dʒ
Breen	p l i n
Breese	p l i dʒ
Breinigsville	p l e i n i ŋ s b i l
Bremen	p l e m e n
Bremerton	p l e m ʌ t ʌ n
Brendel	p l e n d e l
Brent	p l e n t
Brentford	p l e n t p ʌ d
Brenton	p l e n t ʌ n
Brentwood	p l e n t u d
Brereton	p l e l ʌ t ʌ n
Brest	p l e s t
Brevard	p l e b a d
Brewer	p l u ʌ
Brewster	p l u s t ʌ
Briar	p l a i ʌ
Briarcliff	p l a i ʌ k l l i p
Briarwood	p l a i ʌ u d
bridge	p l i dʒ i
Bridgeport	p l i dʒ i p o t
Bridger	p l i dʒ ʌ
Bridgeton	p l i dʒ i t ʌ n
Bridgeville	p l i dʒ i b i l
Bridgewater	p l i dʒ i w ʌ t ʌ
Bridgman	p l i dʒ i m ɛ n
Bridgton	p l i dʒ i t n
Bridport	p l i d p o t
briefing	p l i p i ŋ
Briensburg	p l a i ʌ n s b ʌ g
Brier	p l i ʌ
Brigantine	p l a i g ʌ n t a i n
Briggs	p l i g s
Brigham	p l i g ʌ m
Brighton	p l a i t ʌ n
Brightside	p l a i t s a i d
Brill	p l i l
Brilliant	p l i l l i ʌ n t
Brillion	p l i l l i ʌ n
Brimfield	p l i m p i l d
Brindisi	p l i n dʒ i s i
bring	p l i ŋ
Brinkley	p l i n k l l i
Brinkman	p l i ŋ k m ʌ n
Brinsmade	p l i n s m e i d
Brinson	p l i n s n
Brisbane	p l i dʒ b ʌ n
Bristol	p l i s t o l
Bristow	p l i s t o u
Britt	p l i t
Britton	p l i t ʌ n
bro	p l o
Broadbent	p l o d b e n t
Broadfording	p l o d p o dʒ i ŋ
Broadland	p l o d l l ɛ n d
Broadus	p l o d ʌ s
Broadview	p l o d b j u
Broadway	p l o d w e i
Brock	p l o k
Brocket	p l o k e t
Brockroad	p l o ŋ n o d
Brockton	p l o k t ʌ n
Brockville	p l o k b i l
Brockway	p l o g w e i
Brodhead	p l o d h e d
Brokensword	p l o k n s w ʌ d
Bromide	p l o m a i d
Bromley	p l o m n i
Bronaugh	p l o n o
Bronson	p l o n s n
Bronx	p l o ŋ k s
brooch	p l o tʃ i
Brook	p l u k
Brookdale	p l u k t e i l
Brooker	p l u k ʌ
Brookeville	p l u k p i l
Brookfield	p l u k p i l d
Brookhaven	p l u k e i b n
Brookings	p l u k i ŋ s
Brookland	p l u ŋ n ɛ n d
Brooklin	p l u k l l i n
Brookline	p l u k l l a i n
Brooklyn	p l u k l l i n
Brookport	p l u k p o t
Brooks	p l u k s
Brookshire	p l u k s j ʌ
Brookside	p l u k s a i d
Brooksville	p l u k s b i l
Brookview	p l u k p j u
Brookville	p l u k p i l
Brookwood	p l u g u d
Broome	p l u m
Broomfield	p l u m p i l d
Brosville	p l o s b i l
brother	p l a d ʌ
Brothers	p l a d ʌ s
Broussard	p l u s a d
brown	p l a dʒ a
Brownell	p l a u n e l
Brownfield	p l a u n p i l d
Browning	p l a u n i ŋ
Brownlee	p l a u l l i
Browns	p l a u n dʒ
Brownsburg	p l a u n s b ʌ g
Brownstown	p l a u n s t a u n
Brownsville	p l a u n dʒ b i l
Browntown	p l a u n t a u n
Brownville	p l a u n b i l
Brownwood	p l a u n u d
browser	p l a u dʒ ʌ
Broxton	p l ʌ k s t ʌ n
Bruce	p l u s
Bruin	p l u i n
Brule	p l w i l l
Bruneau	p l u n o
Brunei	p l u n a i
Bruner	p l ʌ n ʌ
Brunner	p l u n ʌ
Bruno	p l u n o
Brunsville	p l ʌ n s b i l
Brunswick	p l ʌ n dʒ w i k
brush	p l ʌ s i
Brush	p l ʌ s i
Brushton	p l ʌ s i t ʌ n
Brusly	p l u s l l i
Brussels	p l w i s e l
Bryan	p l a i ʌ n
Bryant	p l a i ʌ n t
Bryce	p l a i s
Bryson	p l a i s n
Buchanan	p j u k ɛ n ʌ n
Bucharest	p u k a l e s t
Bucher	p u tʃ ʌ
Buck	p ʌ k
Buckbee	p ʌ k p i
Buckeye	p ʌ g a i
Buckhannon	p ʌ k ɛ n ʌ n
Buckhead	p ʌ k e d
Buckholts	p ʌ k o l tʃ
Buckhorn	p ʌ k o n
Buckingham	p ʌ k i ŋ h ɛ m
Buckland	p ʌ k l l ɛ n d
Buckley	p ʌ k l l i
Bucklin	p ʌ k l l i n
Buckner	p ʌ k n ʌ
Bucks	p ʌ k s
Bucksport	p ʌ k s p o t
Bucktown	p ʌ k t a u n
Bucyrus	p u s a i l ʌ s
Bud	p ʌ d
Buda	p u d a
Budapest	p u d a p e s t
Buddha	p ʌ d a
Bude	p j u d
Buell	p j u e l
Buellton	p j u e l t o n
Buena	p u e n a
Buffalo	p ʌ p a l l o
buffer	p ʌ p ʌ
buffet	p u p e
Buford	p j u p ʌ d
bug	p ʌ g
Buhl	p j u l
Buhler	p u l l ʌ
buiding	p i l dʒ i ŋ
build	p i l d
building	p i l dʒ i ŋ
Bujumbura	p u dʒ u m b u l a
Bukhara	p u h a l a
Bulawayo	p u l l a w a j o
bulb	p ʌ l b
Bulcher	p ʌ l tʃ ʌ
Bulgaria	p u l g a l i a
Bullard	p l l a d
bulldozer	p u l d o dʒ ʌ
Bulls	p u l s
bumper	p ʌ m p ʌ
Bunbury	p ʌ n b ʌ l i
Bundaberg	p ʌ n d ʌ b ʌ g
bundle	p ʌ n d l
bundling	p ʌ n d l l i ŋ
Bungay	p ʌ n g e i
Bungee	p ʌ n dʒ i
Bunkie	p ʌ ŋ k i
Bunn	p ʌ n
Bunnell	p ʌ n ʌ l
Burbank	p ʌ b ɛ ŋ k
burberry	p a b a l i
Burchinal	p ʌ tʃ i n ʌ l
Burden	p ʌ d n
Burdick	p ʌ dʒ i k
Burfordville	p ʌ p o d b i l
Burgaw	p ʌ g o
Burgess	p ʌ dʒ e s
Burghill	p ʌ g i l
Burgin	p ʌ g i n
Burien	p j ʌ l i ʌ n
Burke	p ʌ k
Burket	p ʌ k e t
Burkeville	p ʌ k b i l
Burkhardt	p ʌ k h a t
Burkittsville	p ʌ k i tʃ b i l
Burksville	p ʌ k s b i l
Burleson	p ʌ l l e s n
Burley	p ʌ l l i
Burlingame	p ʌ l l i ŋ g e i m
Burlington	p ʌ l l i ŋ t ʌ n
Burna	p ʌ n a
Burnaby	p ʌ n ʌ b i
Burnaugh	p ʌ n o
Burnet	p ʌ n e t
Burnett	p ʌ n e t
Burneyville	p ʌ n i b i l
Burnham	p ʌ n ʌ m
Burns	p ʌ n dʒ
Burnside	p ʌ n s a i d
Burnsville	p ʌ n s b i l
Burrows	p ʌ l o u s
Burt	p ʌ t
Burton	p ʌ t ʌ n
Burundi	p u l u n dʒ i
bus	p ʌ s
Busby	p ʌ s b i
Bush	p u s i
Bushnell	p u s i n e l
Bushong	p u s j o ŋ
business	p i dʒ n i s
businessman	p i dʒ n i s m ɛ n
Bussey	p ʌ s i
But	p ʌ t
butane	p u t a n
Butler	p ʌ t l l ʌ
Butner	p ʌ t n ʌ
Butte	p u t e
butter	p ʌ t ʌ
Butterfield	p ʌ t ʌ p i l d
Buttermilk	p ʌ t ʌ m i l k
Butternuts	p ʌ t ʌ n ʌ tʃ
button	p ʌ t n
Buxton	p ʌ k s t ʌ n
buy	p a i
Buyck	p a i k
buyer	p a i ʌ
by	p a i
Byars	p a i ʌ s
Byer	p a i ʌ
Byhalia	p a i h a l l i a
Byng	p i ŋ
Bynum	p a i n ʌ m
Byram	p a i l ɛ m
Byron	p a i l ʌ n
byte	p a i t
Byun	p j ʌ n
c	s i
cabaret	k a b a l e
cabin	k ɛ b i n
Cabins	k ɛ b i n s
cable	k e i b l
Cable	k e i b l
Cabool	k a b u l
Cabot	k ɛ b o t
cache	k ɛ s i
Cache	k ɛ s i
Cactus	k ɛ k t ʌ s
Caddo	k ɛ d o
caddy	k ɛ dʒ i
Cades	k a d e s
Cadet	k a d e t
Cadillac	k ɛ dʒ i l l a k
Cadiz	k a dʒ i dʒ
cadmium	k a d m j u m
Cadwell	k a d w e l
Cady	k ɛ dʒ i
Caernarvon	k a n a b ʌ n
Caesar	s i dʒ ʌ
cafe	k a p e
caffeine	k a p e i n
cage	k e i dʒ i
Cagliari	k a l l i a l i
Cahaba	k a h a b a
Cahone	k a h o n
Caile	k e i l d o n i a
Cairns	k e ʌ n dʒ
Cairo	k a i l o
cake	k e i k
Calabasas	k a l l a b a s a s
Calabash	k ɛ l l ʌ b ɛ s w i
Calais	k a l l e
Calamity	k ɛ l l ʌ m i tʃ i
Calamus	k a l l a m ʌ s
calcium	k a l s j u m
Calcutta	k ɛ l k ʌ t a
Caldwell	k o l d w e l
Cale	k e i l
Caledonia	k a l l e d o n i a
calendar	k ɛ l l i n d ʌ
Calera	k a l l e l a
Calexico	k a l l e k s i k o
Calgary	k ɛ l g ʌ l i
Calhan	k a l h ɛ n
Calhoun	k a l h u n
Cali	k a l l i
Caliente	k a l l i e n t e
California	k ɛ l l i p o n i a
californium	k a l l i p o l n j u m
Calimesa	k ɛ l l i m e s a
Calio	k a l l i o
Calion	k ɛ l l i ʌ n
Calipatria	k a l l i p a t l i a
Calistoga	k a l l i s t o g a
call	k o l
Callahan	k ɛ l l ʌ h ɛ n
Callao	k a l l a o
Callaway	k ɛ l l ʌ w e i
Callender	k a l l e n d ʌ
Calmar	k a l m a
calorie	k a l l o l i
calorimeter	k a l l o l i m i t ʌ
Calpine	k ɛ l p a i n
Calumet	k ɛ l l j u m e t
Calvary	k a l b o l i
Calvert	k ɛ l b ʌ t
calvin	k ɛ l b i n
Calvin	k ɛ l b i n
Calypso	k a l l i p s o
Camak	k ɛ m ʌ k
Camanche	k ɛ m a n tʃ i
Camargo	k a m a g o
Camarillo	k a m a l i l l o
Camas	k ɛ m ʌ s
Cambodia	k a m b o dʒ i a
Cambria	k ɛ m b l i a
Cambridge	k e i m b l i dʒ i
Camcorder	k ɛ m k o d ʌ
Camden	k ɛ m d ʌ n
Camdenton	k ɛ m d n t ʌ n
camdy	k ɛ n dʒ i
camera	k a m e l a
cameraman	k a m e l a m ɛ n
Cameron	k ɛ m ʌ l ʌ n
Cameroon	k a m e l u n
Camilla	k a m i l l a
Camillus	k a m i l l ʌ s
Camino	k a m i n o
camp	k ɛ m p
campaign	k ɛ m p e i n
Campbell	k ɛ m b e l
Campbells	k ɛ m b e l s
Campbellsville	k ɛ m b e l s b i l
camping	k ɛ m p i ŋ
Campo	k a m p o
Campobello	k a m p o b e l l o
Campton	k ɛ m p t ʌ n
campus	k ɛ m p ʌ s
Campus	k ɛ m p ʌ s
Campville	k ɛ m p b i l
can	k ɛ n
Canaan	k e i n ʌ n
Canada	k ɛ n a d a
Canadian	k ɛ n e dʒ i ʌ n
Canadice	k ɛ n ʌ dʒ i s
Canajoharie	k ɛ n ʌ dʒ o h ɛ l i
canal	k ɛ n ʌ l
Canandaigua	k ɛ n ʌ n d a i g w a
canaria	k a n a l a a
Canberra	k ɛ n b ʌ l a
Canby	k ɛ n b i
Cancun	k a n k u n
Candia	k ɛ n dʒ i a
Cando	k ɛ n d o
Candor	k ɛ n d o
candy	k ɛ n dʒ i
Canebrake	k e i n b l e i k
Caney	k ɛ n i
Canfield	k ɛ n p i l d
Canisteo	k ɛ n i s tʃ i o
Canmore	k ɛ n m o ʌ
canna	k a n n a
Cannelton	k a n e l t ʌ n
Canning	k ɛ n i ŋ
Cannonville	k ɛ n ʌ n b i l
canon	k ɛ n o n
Canon	k ɛ n ʌ n
Canonsburg	k ɛ n ʌ n dʒ b ʌ g
Canova	k a n o b a
Canterbury	k ɛ n t ʌ b e l i
canto	k a n t o
Canton	k ɛ n t ʌ n
Cantril	k ɛ n t l i l
Canute	k a n u t
canvas	k ɛ n b ʌ s
Canvas	k ɛ n b ʌ s
Canyon	k ɛ n j ʌ n
Canyonville	k ɛ n i ʌ n b i l
cap	k ɛ p
capacity	k a p e s i tʃ i
Capay	k a p e i
cape	k e i p
Capella	k a p e l l a
capital	k ɛ p i t a l
capitalism	k ɛ p i t a l l i dʒ m
Capitola	k a p i t o l l a
Capps	k ɛ p s
Caprock	k ɛ m n o k
Capron	k a p l o n
Caps	k ɛ p s
capsule	k ɛ p s j u l
captain	k ɛ p tʃ i n
car	k a
Caracas	k a l a k a s
caramel	k ɛ l ʌ m e l
carat	k ɛ l ʌ t
caraway	k ɛ l ʌ w e i
carbon	k a b o n
Carbon	k a b o n
Carbonado	k a b o n a d o
Carbondale	k a b ʌ n d e i l
Carbonton	k a b o n t ʌ n
card	k a d
Cardiff	k a dʒ i p
cardigan	k a dʒ i g ʌ n
Cardonia	k a d o n i a
Cardwell	k a d w e l
Carefree	k e ʌ p l i
careless	k e ʌ l l e s
Caress	k a l i s
Caret	k ɛ l ʌ t
Caretta	k a l e t a
Carey	k ɛ l i
Caribou	k ɛ l ʌ b u
caricature	k ɛ l i k ʌ tʃ ʌ
Cario	k a i l o
Carisbrook	k ɛ l i s b l u k
Carl	k a l
Carlinville	k a l l i n b i l
Carlisle	k a l l a i l
Carlos	k a l l l o s
Carlotta	k ɛ l l o t a
Carlsbad	k a l s b ɛ d
Carlton	k a l t ʌ n
Carlyle	k a l l a i l
Carmel	k a m e l
Carmen	k a l m e n
Carmet	k a m e t
Carmi	k a m i
Carmody	k a m o dʒ i
carnation	k a n e i s j ʌ n
Carnation	k a n e i s j ʌ n
Carnegie	k a n e g i
Carnes	k a n dʒ
Carnesville	k a n ʌ dʒ b i l
Carney	k a n i
carnival	k a n i b a l
Carnivore	k a n i b o ʌ
Carnot	k a l n o
Caro	k a l o
Caroga	k ɛ l o g a
carol	k ɛ l ʌ l
Carolina	k a l o l l i n a
Caroline	k ɛ l o l l a i n
Carp	k a p
Carpenter	k a p e n t ʌ
carpet	k a p e t
Carpinteria	k a p i n t e l i a
Carr	k a
Carrabelle	k a l a b e l
Carraway	k ɛ l ʌ w e i
Carrboro	k a l b ʌ l ʌ
Carrier	k ɛ l i ʌ
Carriere	k a l i e l
Carrington	k ɛ l i ŋ t ʌ n
Carroll	k ɛ l o l
Carrollton	k ɛ l o l t n
Carrollwood	k ɛ l ʌ l u d
Carrothers	k ɛ l o s ʌ s
Carrsville	k a s b i l
Carson	k a s n
Carswell	k a s w e l
Carter	k a t ʌ
Cartersville	k a t ʌ s b i l
Carterville	k a t ʌ b i l
Carthage	k a s i dʒ i
Carthagena	k a s a dʒ i n a
cartridge	k a t l i dʒ i
Cartwright	k a t l a i t
Carus	k a l u s
Carver	k a b ʌ
Carvers	k a b ʌ s
Cary	k ɛ l i
Casa	k a s a
Casablanca	k a s a b l l a ŋ k a
Casanova	k a s a n o b a
Cascade	k ɛ s k e i d
Cascadia	k ɛ s k ɛ dʒ i a
Cascilla	k a s i l l i a
Casco	k ɛ s k o
case	k e i s
Caseville	k e i s b i l
Casey	k e i s i
cash	k ɛ s i
Cash	k ɛ s i
cashbag	k ɛ s w i b ɛ k
